,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1
20,0,0,False,False,False,False,21,0.0,0.0,0.0,0.0,0.0,0.08749999985999998,12.90069123500001,265.113888379,9.666731657000014,0.0001548789999787914,[ 0.07744202 -0.19428556  0.59915441],[0. 0. 0.],[ 0.34207574  0.79417151 -0.47230834  0.17088221],0.00011849403381347656,[-2.71482129 -0.88523636 -1.40101586 -3.14159281  0.69579335],"[ 1.93822214e+00  5.42818215e-01 -2.44916305e+00 -3.70057997e-05
 -1.00000000e+01]",2.9664999999567954e-05,-0.1129252399608105,0.7732478265749525,0.05
21,0,0,False,False,False,False,22,0.0,0.0,0.0,0.0,0.0,0.09166666651999998,13.187671679000005,265.400868823,9.68236600800003,0.00013199800002894335,[ 0.0853961  -0.19446981  0.59915066],[0. 0. 0.],[ 0.32336479  0.79286766 -0.48099047  0.18826655],1.3828277587890625e-05,[-2.69909506 -0.88321354 -1.4129853  -3.14159278  0.6541269 ],"[ 3.77429464e+00  4.85477467e-01 -2.87266470e+00  7.40115993e-06
 -9.99994919e+00]",5.9732000011081254e-05,-0.11288480469938333,0.7705897031324338,0.05
22,0,0,False,False,False,False,23,0.0,0.0,0.0,0.0,0.0,0.09583333317999998,13.529718860999992,265.742916005,9.763696989000039,6.6043999993326e-05,[ 0.09524576 -0.19333741  0.59881496],[0. 0. 0.],[ 0.30098146  0.79219234 -0.48883635  0.207076  ],5.888938903808594e-05,[-2.67579411 -0.88154208 -1.42626314 -3.14159275  0.61246031],"[ 5.59222908e+00  4.01150760e-01 -3.18668266e+00  5.92092795e-06
 -9.99998048e+00]",0.000208401000008962,-0.11265596551141507,0.7663985879403733,0.05
23,0,0,False,False,False,False,24,0.0,0.0,0.0,0.0,0.0,0.09999999983999998,13.79715547699999,266.010352621,9.76863067100004,0.000146083999993607,[ 0.10692973 -0.1906272   0.59792119],[0. 0. 0.],[ 0.27478713  0.7918852  -0.49573863  0.22727314],9.393692016601562e-05,[-2.64488241 -0.87998276 -1.44153098 -3.14159273  0.5707939 ],"[ 7.41880739e+00  3.74236094e-01 -3.66428012e+00  4.73674236e-06
 -9.99993972e+00]",4.008499996643877e-05,-0.11235542290749889,0.7601211530053374,0.05
24,0,0,False,False,False,False,25,0.0,0.0,0.0,0.0,0.0,0.10416666649999998,14.057840258999988,266.271037403,9.778041569000038,5.6746999973711354e-05,[ 0.12030531 -0.18604349  0.59632164],[0. 0. 0.],[ 0.24471021  0.7916308  -0.50149477  0.24887858],5.1975250244140625e-05,[-2.60633463 -0.8783693  -1.45915048 -3.14159272  0.52912738],"[ 9.25146669e+00  3.87230312e-01 -4.22867972e+00  3.78939389e-06
 -9.99996301e+00]",3.0437000020810956e-05,-0.11194260646652784,0.7515381851288301,0.05
25,0,0,False,False,False,False,26,0.0,0.0,0.0,0.0,0.0,0.10833333315999998,16.12348267499999,268.336679819,11.613972717000081,5.654599999616039e-05,[ 0.12653044 -0.18530011  0.59679383],[0. 0. 0.],[ 0.22873148  0.78706455 -0.50790787  0.26503009],6.0558319091796875e-05,[-2.59840461 -0.87616869 -1.469563   -3.14159265  0.4874611 ],[ 1.90320498  0.52814662 -2.49900481  0.         -9.99990836],0.0002162149999662688,-0.11138300957774178,0.7404656461115747,0.05
26,0,0,False,False,False,False,27,0.0,0.0,0.0,0.0,0.0,0.11249999981999997,16.37985153599999,268.59304868,11.625899053000126,0.00012960200001543853,[ 0.1349103  -0.1827362   0.59434116],[0. 0. 0.],[ 0.20709622  0.78284711 -0.51508331  0.2809819 ],7.414817810058594e-05,[-2.58238707 -0.87201758 -1.48987862 -3.14159265  0.44579457],[ 3.84421082  0.99626467 -4.87574975  0.         -9.99996735],3.345300001456053e-05,-0.11125105419895513,0.7368601826709985,0.05
27,0,0,False,False,False,False,28,0.0,0.0,0.0,0.0,0.0,0.11666666647999997,16.639884849999987,268.853081994,11.637713210000129,7.991900002934926e-05,[ 0.14478327 -0.1785078   0.59237385],[0. 0. 0.],[ 0.18263572  0.77879512 -0.52034688  0.29893371],6.818771362304688e-05,[-2.55921829 -0.86926223 -1.50821275 -3.14159265  0.40412801],[ 5.56050606  0.661285   -4.4001922   0.         -9.99997374],3.155899997864253e-05,-0.10991449098227161,0.7297770707983527,0.05
28,0,0,False,False,False,False,29,0.0,0.0,0.0,0.0,0.0,0.12083333313999997,16.904450364000013,269.117647508,11.647415925000132,9.043900001870497e-05,[ 0.15605067 -0.17235792  0.59045887],[0. 0. 0.],[ 0.15509872  0.77463084 -0.52377921  0.31866407],5.173683166503906e-05,[-2.5288174  -0.8674569  -1.52600231 -3.14159289  0.36246134],"[ 7.29621528e+00  4.33278476e-01 -4.26949263e+00 -5.67156267e-05
 -1.00000000e+01]",0.00017335599994794393,-0.10890643122507113,0.720829581365386,0.05
29,0,0,False,False,False,False,30,0.0,0.0,0.0,0.0,0.0,0.12499999979999997,17.197904327000003,269.411101471,11.663183714000127,0.00011284099997510566,[ 0.16854875 -0.16399312  0.58810437],[0. 0. 0.],[ 0.1241876   0.77003175 -0.52543414  0.33992296],4.792213439941406e-05,[-2.49107312 -0.86611604 -1.54478714 -3.14159284  0.32079486],"[ 9.05862510e+00  3.21807512e-01 -4.50835969e+00  1.13431253e-05
 -9.99995615e+00]",3.363299998682123e-05,-0.10800603915423829,0.7097289599887225,0.05
